filename,intervention_type,totals_exact_rate,totals_within1_rate,totals_within3_rate,totals_mae,totals_rmse,totals_max_abs,totals_max_abs_window,categories_exact_rate,categories_within1_rate,categories_within3_rate,categories_mae,categories_rmse,category_shifts,kappa_totals,kappa_totals_values,kappa_categories,kappa_categories_values,per_arm_presence_flips,recon_fail_run1,recon_fail_run2,status
31327689,control,0.16666666666666666,0.16666666666666666,0.16666666666666666,7.333333333333333,8.888194417315589,15.0,12_months,0.4166666666666667,0.5416666666666666,0.7916666666666666,2.5833333333333335,4.73462423711393,0,,0.1428571428571428,0.16083916083916083,0.16000000000000003,10,,,FAIL
31327689,intervention,0.16666666666666666,0.16666666666666666,0.5,2.6666666666666665,3.0550504633038935,4.0,6_months,0.4166666666666667,0.625,0.7083333333333334,3.25,5.693563617512908,0,,0.1428571428571428,0.3414634146341464,0.2094117647058823,9,,,FAIL
34087126,control,0.16666666666666666,0.3333333333333333,0.5,10.333333333333334,14.776106839534334,28.0,12_months,0.125,0.25,0.4166666666666667,9.0,13.69914839202301,4,,0.14285714285714268,-0.4482758620689655,-0.1351351351351351,21,,,FAIL
34087126,intervention,0.16666666666666666,0.3333333333333333,0.5,10.166666666666666,14.657193910613769,28.0,12_months,0.75,0.8333333333333334,0.875,2.625,7.4916620318858484,0,,0.14285714285714268,0.5652173913043479,0.5701492537313433,5,,,FAIL
34110925,intervention,0.5,0.8333333333333334,1.0,0.6666666666666666,1.0,2.0,12_months,0.625,0.75,0.875,1.0,1.9148542155126762,4,,0.4545454545454546,0.6734693877551021,0.5156950672645739,4,,,FAIL
34874182,control,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5773502691896257,1.0,1_month,0.5833333333333334,0.625,0.6666666666666666,3.0,5.400617248673217,6,,0.6129032258064515,-0.11111111111111116,0.028340080971659742,10,,,FAIL
34874182,intervention,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5773502691896257,1.0,1_month,0.5833333333333334,0.6666666666666666,1.0,0.75,1.1902380714238083,6,,0.6249999999999999,0.5652173913043479,0.2920353982300885,5,,,FAIL
35660812,intervention,0.16666666666666666,0.16666666666666666,0.16666666666666666,20.5,25.242160499186014,43.0,6_months,0.5,0.5,0.5833333333333334,7.958333333333333,15.39615752928849,0,,0.14285714285714268,0.41666666666666663,0.2941176470588235,7,,,FAIL
35665782,control,1.0,1.0,1.0,0.0,0.0,0.0,screening_window,0.5833333333333334,0.5833333333333334,0.5833333333333334,11.25,20.605419998954968,10,,1.0,0.052631578947368474,0.09433962264150952,9,,,FAIL
35665782,intervention,0.16666666666666666,0.16666666666666666,0.3333333333333333,14.666666666666666,19.122412679017955,34.0,12_months,0.7916666666666666,0.7916666666666666,0.8333333333333334,3.6666666666666665,9.561206339508978,0,,0.06249999999999978,0.6546762589928058,0.654178674351585,4,,,FAIL
35704479,control,1.0,1.0,1.0,0.0,0.0,0.0,screening_window,1.0,1.0,1.0,0.0,0.0,0,,1.0,1.0,1.0,0,,,FAIL
35704479,intervention,0.3333333333333333,1.0,1.0,0.6666666666666666,0.816496580927726,1.0,3_months,0.8333333333333334,1.0,1.0,0.16666666666666666,0.408248290463863,0,,0.19999999999999996,1.0,0.7159763313609467,0,,,FAIL
35728048,control,0.16666666666666666,0.16666666666666666,0.3333333333333333,5.166666666666667,6.177917664283546,11.0,12_months,0.4583333333333333,0.5,0.625,4.708333333333333,8.428621872326856,0,,0.1428571428571428,0.6734693877551021,0.3097345132743362,4,,,FAIL
35728048,intervention,0.16666666666666666,0.16666666666666666,0.3333333333333333,5.166666666666667,6.177917664283546,11.0,12_months,0.4583333333333333,0.5,0.625,4.708333333333333,8.428621872326856,0,,0.1428571428571428,0.6734693877551021,0.3097345132743362,4,,,FAIL
35759733,control,0.5,1.0,1.0,0.5,0.7071067811865476,1.0,1_month,0.375,0.5,0.6666666666666666,2.875,4.495367986420392,6,,0.4375,-0.30434782608695654,-0.07462686567164178,15,,,FAIL
